"Cluster","Organization","ProjectCode","MONTH","Objective","Priority","Activity","Indicator","Accumulative","Country","Admin1","AnnualTarget","Achieved"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Brakna","2181","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Gorgol","2181","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Guidimakha","514","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Hodh Ech Chargi","1666","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Hodh El Gharbi","2181","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Tagant","2181","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Trarza","515","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of tons seeds distributed for off season vegetable gardening and season recession crops","NO","Mauritania","Assaba","20","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of tons seeds distributed for off season vegetable gardening and season recession crops","NO","Mauritania","Brakna","20","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of tons seeds distributed for off season vegetable gardening and season recession crops","NO","Mauritania","Gorgol","20","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of tons seeds distributed for off season vegetable gardening and season recession crops","NO","Mauritania","Guidimakha","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of tons seeds distributed for off season vegetable gardening and season recession crops","NO","Mauritania","Hodh Ech Chargi","20","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of tons seeds distributed for off season vegetable gardening and season recession crops","NO","Mauritania","Hodh El Gharbi","20","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of tons seeds distributed for off season vegetable gardening and season recession crops","NO","Mauritania","Tagant","20","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of off season agricultural inputs and recession gardening","number of tons seeds distributed for off season vegetable gardening and season recession crops","NO","Mauritania","Trarza","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Mauritania","Assaba","514","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Mauritania","Brakna","2180","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Mauritania","Gorgol","2180","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Mauritania","Guidimakha","514","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Mauritania","Hodh Ech Chargi","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Mauritania","Hodh El Gharbi","514","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Mauritania","Tagant","514","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65466","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","NO","Mauritania","Trarza","2183","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","NO","Mauritania","Assaba","5","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","NO","Mauritania","Brakna","5","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","NO","Mauritania","Gorgol","5","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","NO","Mauritania","Guidimakha","5","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","NO","Mauritania","Hodh Ech Chargi","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","NO","Mauritania","Hodh El Gharbi","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","NO","Mauritania","Tagant","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","NO","Mauritania","Trarza","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Mauritania","Assaba","250","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Mauritania","Brakna","250","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Mauritania","Gorgol","250","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Mauritania","Guidimakha","250","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Mauritania","Hodh Ech Chargi","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Mauritania","Hodh El Gharbi","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Mauritania","Tagant","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for irrigated crops (excluding off season gardening)","number of households receiving assistance in agriculture for irrigated crops","NO","Mauritania","Trarza","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for off season gardening and season recession crops","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Assaba","2500","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for off season gardening and season recession crops","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Brakna","3250","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for off season gardening and season recession crops","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Gorgol","3250","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for off season gardening and season recession crops","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Guidimakha","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for off season gardening and season recession crops","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Hodh Ech Chargi","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for off season gardening and season recession crops","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Hodh El Gharbi","4500","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for off season gardening and season recession crops","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Tagant","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for off season gardening and season recession crops","number of households receiving assistance in agriculture for off season vegetable gardening and season recession crops","NO","Mauritania","Trarza","1500","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","NO","Mauritania","Assaba","5000","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","NO","Mauritania","Brakna","5000","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","NO","Mauritania","Gorgol","5000","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","NO","Mauritania","Guidimakha","5000","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","NO","Mauritania","Hodh Ech Chargi","5000","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","NO","Mauritania","Hodh El Gharbi","5000","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","NO","Mauritania","Tagant","5000","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","MRT-14/A/65549","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","NO","Mauritania","Trarza","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Institutional support for technical services / Regional Directorates","Number of technical services supported","YES","Senegal","Kédougou","3","3.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Institutional support for technical services / Regional Directorates","Number of technical services supported","YES","Senegal","Sédhiou","3","3.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of livestock inputs (restocking , livestock feed and other zoo veterinary inputs )","number of households assisted in breeding activities","NO","Senegal","Kédougou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of livestock inputs (restocking , livestock feed and other zoo veterinary inputs )","number of households assisted in breeding activities","NO","Senegal","Sédhiou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of livestock inputs (restocking , livestock feed and other zoo veterinary inputs )","number of tons animal feed distributed","NO","Senegal","Kédougou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate / strengthen livelihoods of food insecure households through the distribution of livestock inputs (restocking , livestock feed and other zoo veterinary inputs )","number of tons animal feed distributed","NO","Senegal","Sédhiou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of agricultural inputs for the main rainy season (including crops lowland )","number of tons fertilizer distributed for the main / rainy season","NO","Senegal","Kédougou","47","47.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect and rehabilitate/strengthen livelihoods of food insecure households through the distribution of agricultural inputs for the main rainy season (including crops lowland )","number of tons fertilizer distributed for the main / rainy season","NO","Senegal","Sédhiou","72","71.50"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","YES","Senegal","Kédougou","280","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 2","Priority 4: Food insecurity","Protect livelihoods of food insecure households through the technical capacity building to improve production (pastoral Schools / Farmer field schools ... )","number of people who have increased their technical knowledge in order to improve production","YES","Senegal","Sédhiou","420","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","NO","Senegal","Kédougou","47","47.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","NO","Senegal","Louga","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","NO","Senegal","Matam","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","NO","Senegal","Saint-Louis","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","NO","Senegal","Sédhiou","72","71.50"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs ... )","number of households assisted in pastoral activities","NO","Senegal","Kédougou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs ... )","number of households assisted in pastoral activities","NO","Senegal","Sédhiou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs ... )","number of tons animal feed distributed","NO","Senegal","Kédougou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs ... )","number of tons animal feed distributed","NO","Senegal","Sédhiou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs ... )","number of vaccinated, dewormed and treated animals","NO","Senegal","Kédougou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 1: Natural disasters","Emergency distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs ... )","number of vaccinated, dewormed and treated animals","NO","Senegal","Sédhiou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of dewormed and vaccinated animals","NO","Senegal","Kédougou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of dewormed and vaccinated animals","NO","Senegal","Sédhiou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of households assisted in breeding activities","NO","Senegal","Kédougou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of households assisted in breeding activities","NO","Senegal","Sédhiou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","YES","Senegal","Kédougou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Distribution of livestock inputs (restocking , animal feed , zoo veterinary inputs... )","number of tons animal feed distributed","YES","Senegal","Sédhiou","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","YES","Senegal","Louga",NA,"0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","YES","Senegal","Matam","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of households receiving assistance in agriculture for the main / rainy season","YES","Senegal","Saint-Louis","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons seeds distributed for the main/rainy season","NO","Senegal","Kédougou","5","4.70"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons seeds distributed for the main/rainy season","NO","Senegal","Louga","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons seeds distributed for the main/rainy season","NO","Senegal","Matam","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons seeds distributed for the main/rainy season","NO","Senegal","Saint-Louis","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500009","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons seeds distributed for the main/rainy season","NO","Senegal","Sédhiou","34","34.32"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500010","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","YES","Senegal","Louga","0","0.00"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500010","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","YES","Senegal","Matam","31","30.71"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500010","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","YES","Senegal","Saint-Louis","43","42.88"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500010","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","YES","Senegal","Tambacounda","37","37.08"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500010","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons fertilizer distributed for the main / rainy season","YES","Senegal","Ziguinchor","76","76.50"
"Food Security","Food & Agriculture Organization of the United Nations","ORS/SEN-14/L/500010","June","OBJECTIVE 3","Priority 4: Food insecurity","Emergency distribution of agricultural inputs for the main /rainy season (including  lowland crops)","number of tons seeds distributed for the main/rainy season","YES","Senegal","Louga","12","4.00"
